,Op Type,"Dimension(input, weight,output)",Bound,C/M ratio,Op Intensity,Latency (msec),Cycles,C Effcy,Flops (GFLOP),Input_a (MB),Input_w (MB),Output (MB),Total Data (MB),Throughput (Tflops),Roofline Throughput offchip (Tflops),Roofline Throughput onchip (Tflops),Compute Cycles,Memory Cycles,Sparsity,Total energy (mJ)
0,aten::_convolution,"([1, 3, 640, 640], [24, 3, 3, 3], [1, 24, 320, 320])",M,0.13168416946525693,17.99683649358511,0.00819344,7701.8336,1.0,0.1327104,1.2288,0.000648,2.4576,3.687048,16.1971528442266,16.1971528442266,16.1971528442266,1014.2095609756099,7701.8336,0.0,10356615.057035955
1,aten::batch_norm,"([1, 24, 320, 320], [1, 24, 320, 320])",M,0.0036585365853658543,0.5,0.010922666666666666,10267.306666666665,1.0,0.0049152,2.4576,0.0,2.4576,4.9152,0.45,0.45,0.45,37.56331707317074,10267.306666666665,0.0,0.0
2,aten::_convolution,"([1, 24, 320, 320], [24, 1, 3, 3], [1, 24, 320, 320])",M,0.032925382352076045,4.4998022547837255,0.010923146666666666,10267.757866666667,1.0,0.0442368,2.4576,0.000216,2.4576,4.915416,4.049822029305353,4.049822029305353,4.049822029305353,338.0698536585366,10267.757866666667,0.0,10356615.057019755
3,aten::batch_norm,"([1, 24, 320, 320], [1, 24, 320, 320])",M,0.0036585365853658543,0.5,0.010922666666666666,10267.306666666665,1.0,0.0049152,2.4576,0.0,2.4576,4.9152,0.45,0.45,0.45,37.56331707317074,10267.306666666665,0.0,0.0
4,aten::mean,"([1, 24, 320, 320], [1, 24, 1, 1])",M,7.14550948792659e-08,9.765529633499673e-06,0.005461386666666666,5133.703466666666,1.0,4.8e-08,2.4576,0.0,2.4e-05,2.457624,8.788976670149706e-06,8.788976670149706e-06,8.788976670149706e-06,0.00036682926829268293,5133.703466666666,0.0,0.0
5,aten::_convolution,"([1, 24, 1, 1], [24, 24, 1, 1], [1, 24, 1, 1])",M,0.006754221388367731,0.9230769230769231,1.3866666666666666e-06,1.3034666666666666,1.0,1.152e-06,2.4e-05,0.000576,2.4e-05,0.000624,0.8307692307692308,0.8307692307692308,0.8307692307692308,0.00880390243902439,1.3034666666666666,0.0,154980.04707476142
6,aten::_convolution,"([1, 24, 1, 1], [24, 24, 1, 1], [1, 24, 1, 1])",M,0.006754221388367731,0.9230769230769231,1.3866666666666666e-06,1.3034666666666666,1.0,1.152e-06,2.4e-05,0.000576,2.4e-05,0.000624,0.8307692307692308,0.8307692307692308,0.8307692307692308,0.00880390243902439,1.3034666666666666,0.0,154980.04707476142
7,aten::mul,"([1, 24, 320, 320], 1, [1, 24, 320, 320])",M,0.0036585358410348313,0.49999989827476027,0.01092266888888889,10267.308755555556,1.0,0.0049152,2.4576,1e-06,2.4576,4.915201,0.4499999084472842,0.4499999084472842,0.4499999084472842,37.56331707317074,10267.308755555556,0.0,3.75e-08
8,aten::_convolution,"([1, 24, 320, 320], [24, 24, 1, 1], [1, 24, 320, 320])",M,0.08779458962030937,11.998593914775613,0.010923946666666665,10268.509866666665,1.0,0.1179648,2.4576,0.000576,2.4576,4.915776,10.798734523298052,10.798734523298052,10.798734523298052,901.5196097560976,10268.509866666665,0.0,10356615.057033256
9,aten::batch_norm,"([1, 24, 320, 320], [1, 24, 320, 320])",M,0.0036585365853658543,0.5,0.010922666666666666,10267.306666666665,1.0,0.0049152,2.4576,0.0,2.4576,4.9152,0.45,0.45,0.45,37.56331707317074,10267.306666666665,0.0,0.0
